Area-3r    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1986        509465049          73982         564715         282315          0.446
1987        116974545         181964         985595         395296          0.610
1988        359447516         264408         458948         330358          0.822
1989        107682273          98789         540083         350409          0.917
1990        197188594         103653         329490         163224          0.544
1991        124646987         159059         542338         274839          0.646
1992        258576128         119900         350816          86788          0.281
1993        190486509         194568         663382         175786          0.554
1994        179352520         234885         625340         267281          0.559
1995        154258704         139873         473901         173607          0.444
1996        752766857         233574         740152         159024          0.459
1997         64157309         186222        1561479         470670          0.833
1998         93295439         334864         540453         462081          1.105
1999        121154859         109565         333901         191253          0.895
2000        131742491          66508         322427         186837          0.789
2001        123974203          73660         369966         193684          0.612
2002         30909940          72636         342216         116298          0.486
2003         70099833          68160         129525          34673          0.279
2004         45143111          30352         175975          31285          0.204
2005         77340825          62241         175141          13991          0.090
2006        112812115          57259         243000           7094          0.039
2007         59563351         100364         385324          74972          0.234
2008         91400553         140370         329233          74933          0.260
2009        142072569         101304         321510           6261          0.022
2010         15051765         249104         678469          61241          0.282
2011         11135865         249893         328261          92452          0.178
2012         78039411         166524         202728          40116          0.108
2013        201139005          58715         270067           9844          0.053
2014        218252207         107616         631747          90876          0.211
2015          7204344         216399         791874         104631          0.278
2016        649305684         248375         301548          42845          0.108
2017         31431270         190321        1653915         115642          0.241
2018        217679210         405789         568594          75143          0.257
2019        503346550         250064         797756         135899          0.388
2020        229563595         286015        1636118         246139          0.655
                              527189
