Area-3r    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1986        510440828          79548         614598         282315          0.437
1987        116635788         196533        1005286         395296          0.600
1988        360994736         274264         468817         330358          0.807
1989        106398644         102423         545654         350409          0.901
1990        205803638         106492         330167         163224          0.534
1991        123367652         163003         562306         274839          0.634
1992        265202918         125351         355284          86788          0.276
1993        193745157         198341         678096         175786          0.544
1994        183202094         242649         640489         267281          0.550
1995        146331287         144767         485991         173607          0.437
1996        769886013         241262         724402         159024          0.451
1997         62249850         186446        1591325         470670          0.818
1998         94116050         344970         549891         462081          1.084
1999        120194313         114625         340806         191253          1.046
2000        126242414          59779         310940         186837          0.928
2001        120067335          63827         346570         193684          0.712
2002         28395910          63533         321460         116298          0.572
2003         63583393          59010         115078          34673          0.327
2004         40430446          26100         157984          31285          0.239
2005         66181215          54150         154974          13991          0.106
2006        118770221          49657         208840           7094          0.046
2007         60229140          87833         383795          74972          0.276
2008         94075672         134080         325264          74933          0.306
2009        142754643          97107         323070           6261          0.026
2010         16260828         249111         681557          61241          0.331
2011         11647143         238172         318056          92452          0.210
2012         75833053         155723         193624          40116          0.128
2013        200347456          55264         260780           9844          0.062
2014        242102768         103503         624956          90876          0.249
2015          7255959         209296         841329         104631          0.328
2016        480703510         247950         304174          42845          0.128
2017         21670950         174790        1258749         115642          0.284
                              301281
