Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1986 1 1 1 0 0 0.76 0.283397 1.0434 8.83154e+007 5.48265e+007 1.55376e+007 1.89386e+007 0.00612192 0.00612192 115940 115940 1 0.036 540660 19463.8 0 0 
1986 1 1 2 0 0 0.6 0.308795 0.908795 6.08629e+006 3.9981e+006 1.2346e+006 2.06275e+006 0.0097272 0.0097272 20064.7 20064.7 1 0.766 59202.6 45349.2 0 0 
1986 1 1 3 0 0 0.42 0.241484 0.661484 254660 186299 44988.3 160842 0.0124354 0.0124354 2000.13 2000.13 1 1 3166.79 3166.79 0 0 
1986 1 1 4 0 0 0.36 0.241484 0.601484 727042 546356 131936 0 0.0159119 0.0159119 0 0 1 1 11568.6 11568.6 0 0 
1986 2 1 0 0 0 1.34 0.0755965 1.4156 5.10441e+008 2.73041e+008 2.06409e+007 7.96453e+006 0.00401849 0.00401849 32005.4 32005.4 1 0 2.0512e+006 0 0 0 
1986 2 1 1 0 0 0.6 0.134803 0.734803 3.11096e+007 2.20324e+007 2.97004e+006 7.98688e+006 0.0126501 0.0126501 101035 101035 1 0.036 393541 14167.5 0 0 
1986 2 1 2 0 0 0.47 0.146885 0.616885 2.45283e+006 1.83053e+006 268877 533151 0.0210498 0.0210498 11222.7 11222.7 1 0.766 51631.7 39549.9 0 0 
1986 2 1 3 0 0 0.37 0.114867 0.484867 131426 104145 11962.9 2472 0.018856 0.018856 46.612 46.612 1 1 2478.17 2478.17 0 0 
1986 2 1 4 0 0 0.35 0.114867 0.464867 398417 318638 36600.9 0 0.020372 0.020372 0 0 1 1 8116.54 8116.54 0 0 
1987 1 1 1 0 0 0.75 0.571989 1.32199 1.23925e+008 6.87496e+007 3.9324e+007 3.37598e+007 0.00642898 0.00642898 217041 217041 1 0.036 796713 28681.7 0 0 
1987 1 1 2 0 0 0.6 0.623252 1.22325 1.49202e+007 8.60787e+006 5.36487e+006 1.40202e+007 0.0116638 0.0116638 163529 163529 1 0.766 174026 133304 0 0 
1987 1 1 3 0 0 0.42 0.487396 0.907396 1.3236e+006 869998 424034 453114 0.0204766 0.0204766 9278.22 9278.22 1 1 27102.9 27102.9 0 0 
1987 1 1 4 0 0 0.36 0.487396 0.847396 331223 223371 108870 199797 0.0224777 0.0224777 4490.97 4490.97 1 1 7445.11 7445.11 0 0 
1987 2 1 0 0 0 1.43 0.00109868 1.4311 1.16636e+008 6.20184e+007 68138.6 5156 0.00690042 0.00690042 35.5786 35.5786 1 0 804836 0 0 0 
1987 2 1 1 0 0 0.57 0.00195917 0.571959 3.3039e+007 2.51612e+007 49295 65133 0.0127681 0.0127681 831.624 831.624 1 0.036 421845 15186.4 0 0 
1987 2 1 2 0 0 0.44 0.00213475 0.442135 4.39058e+006 3.54851e+006 7575.18 4402 0.0203888 0.0203888 89.7517 89.7517 1 0.766 89518.9 68571.5 0 0 
1987 2 1 3 0 0 0.35 0.00166942 0.351669 534172 450353 751.828 0 0.0315782 0.0315782 0 0 1 1 16868.2 16868.2 0 0 
1987 2 1 4 0 0 0.34 0.00166942 0.341669 141939 120232 200.717 0 0.0296158 0.0296158 0 0 1 1 4203.62 4203.62 0 0 
1988 1 1 1 0 0 0.71 0.681214 1.39121 2.78813e+007 1.50553e+007 1.02559e+007 6.58391e+006 0.00511373 0.00511373 33668.3 33668.3 1 0.036 142578 5132.79 0 0 
1988 1 1 2 0 0 0.57 0.742266 1.31227 1.86478e+007 1.03848e+007 7.7083e+006 1.73206e+007 0.0130874 0.0130874 226682 226682 1 0.766 244051 186943 0 0 
1988 1 1 3 0 0 0.39 0.580467 0.970467 2.82167e+006 1.80585e+006 1.04824e+006 893461 0.0230178 0.0230178 20565.5 20565.5 1 1 64948.4 64948.4 0 0 
1988 1 1 4 0 0 0.35 0.580467 0.930467 476656 310250 180090 19296 0.0361685 0.0361685 697.908 697.908 1 1 17239.9 17239.9 0 0 
1988 2 1 0 0 0 1.54 0.0511065 1.59111 3.60995e+008 1.80667e+008 9.23325e+006 8.76886e+006 0.00408872 0.00408872 35853.4 35853.4 1 0 1.47601e+006 0 0 0 
1988 2 1 1 0 0 0.58 0.0911329 0.671133 6.93613e+006 5.05246e+006 460445 852565 0.00642828 0.00642828 5480.52 5480.52 1 0.036 44587.3 1605.14 0 0 
1988 2 1 2 0 0 0.43 0.0993004 0.5293 5.02017e+006 3.89799e+006 387072 233220 0.0160827 0.0160827 3750.81 3750.81 1 0.766 80738.1 61845.4 0 0 
1988 2 1 3 0 0 0.35 0.077655 0.427655 1.06915e+006 869916 67553.3 143977 0.0224875 0.0224875 3237.68 3237.68 1 1 24042.4 24042.4 0 0 
1988 2 1 4 0 0 0.34 0.077655 0.417655 187979 153662 11932.7 13414 0.0314608 0.0314608 422.015 422.015 1 1 5913.96 5913.96 0 0 
1989 1 1 1 0 0 0.68 0.856741 1.53674 7.35347e+007 3.75592e+007 3.21785e+007 4.70045e+007 0.00613012 0.00613012 288143 288143 1 0.036 450776 16227.9 0 0 
1989 1 1 2 0 0 0.55 0.933524 1.48352 3.54526e+006 1.84767e+006 1.72484e+006 1.8442e+006 0.0104668 0.0104668 19303 19303 1 0.766 37107.6 28424.4 0 0 
1989 1 1 3 0 0 0.39 0.730036 1.12004 2.95697e+006 1.7787e+006 1.29851e+006 2.80604e+006 0.0143234 0.0143234 40192.2 40192.2 1 1 42353.9 42353.9 0 0 
1989 1 1 4 0 0 0.36 0.730036 1.09004 820923 499915 364955 4091 0.0187797 0.0187797 76.8276 76.8276 1 1 15416.6 15416.6 0 0 
1989 2 1 0 0 0 1.33 0.00326061 1.33326 1.06399e+008 5.87659e+007 191613 159140 0.00478346 0.00478346 761.24 761.24 1 0 508954 0 0 0 
1989 2 1 1 0 0 0.49 0.0058143 0.495814 1.58159e+007 1.24701e+007 72504.7 190120 0.00930316 0.00930316 1768.72 1768.72 1 0.036 147138 5296.96 0 0 
1989 2 1 2 0 0 0.36 0.00633539 0.366335 804195 673346 4265.91 12901 0.0127297 0.0127297 164.226 164.226 1 0.766 10237.2 7841.69 0 0 
1989 2 1 3 0 0 0.33 0.00495441 0.334954 964764 819813 4061.69 0 0.0140224 0.0140224 0 0 1 1 13528.3 13528.3 0 0 
1989 2 1 4 0 0 0.32 0.00495441 0.324954 275998 235642 1167.47 0 0.0175215 0.0175215 0 0 1 1 4835.9 4835.9 0 0 
1990 1 1 1 0 0 0.63 0.422215 1.05221 2.80484e+007 1.73491e+007 7.32503e+006 9.3022e+006 0.00745268 0.00745268 69326.3 69326.3 1 0.036 209036 7525.29 0 0 
1990 1 1 2 0 0 0.49 0.460055 0.950055 9.63306e+006 6.21834e+006 2.86078e+006 2.79071e+006 0.00983297 0.00983297 27441 27441 1 0.766 94721.7 72556.8 0 0 
1990 1 1 3 0 0 0.34 0.359772 0.699772 557524 400992 144266 412858 0.015173 0.015173 6264.27 6264.27 1 1 8459.29 8459.29 0 0 
1990 1 1 4 0 0 0.31 0.359772 0.669772 889589 648392 233273 124997 0.0201785 0.0201785 2522.25 2522.25 1 1 17950.5 17950.5 0 0 
1990 2 1 0 0 0 1.28 0.0497597 1.32976 2.05804e+008 1.13825e+008 5.66391e+006 9.79264e+006 0.00438372 0.00438372 42928.2 42928.2 1 0 902185 0 0 0 
1990 2 1 1 0 0 0.48 0.0887313 0.568731 9.79349e+006 7.46924e+006 662755 1.37715e+006 0.00768936 0.00768936 10589.4 10589.4 1 0.036 75305.6 2711 0 0 
1990 2 1 2 0 0 0.35 0.0966836 0.446684 3.7253e+006 3.00448e+006 290484 285578 0.011205 0.011205 3199.89 3199.89 1 0.766 41741.8 31974.2 0 0 
1990 2 1 3 0 0 0.3 0.0756086 0.375609 276921 230858 17454.8 42584 0.0165489 0.0165489 704.718 704.718 1 1 4582.74 4582.74 0 0 
1990 2 1 4 0 0 0.29 0.0756086 0.365609 455314 381361 28834.2 12527 0.0197684 0.0197684 247.638 247.638 1 1 9000.81 9000.81 0 0 
1991 1 1 1 0 0 0.63 0.536522 1.16652 5.44435e+007 3.21358e+007 1.72416e+007 2.40087e+007 0.00732518 0.00732518 175868 175868 1 0.036 398808 14357.1 0 0 
1991 1 1 2 0 0 0.49 0.584607 1.07461 5.5455e+006 3.39853e+006 1.9868e+006 1.39065e+006 0.0114452 0.0114452 15916.2 15916.2 1 0.766 63469.2 48617.4 0 0 
1991 1 1 3 0 0 0.33 0.457175 0.787175 2.38325e+006 1.64965e+006 754177 526003 0.0363807 0.0363807 19136.3 19136.3 1 1 86704 86704 0 0 
1991 1 1 4 0 0 0.3 0.457175 0.757175 506095 354927 162263 184169 0.0263288 0.0263288 4848.95 4848.95 1 1 13324.9 13324.9 0 0 
1991 2 1 0 0 0 1.22 0.0394463 1.25945 1.23368e+008 7.01535e+007 2.76729e+006 1.44423e+007 0.00367053 0.00367053 53011.1 53011.1 1 0 452825 0 0 0 
1991 2 1 1 0 0 0.47 0.0703404 0.54034 1.69563e+007 1.30999e+007 921454 942074 0.00567683 0.00567683 5347.99 5347.99 1 0.036 96258.1 3465.29 0 0 
1991 2 1 2 0 0 0.35 0.0766445 0.426644 1.89341e+006 1.54131e+006 118133 30405 0.0137562 0.0137562 418.257 418.257 1 0.766 26046.1 19951.3 0 0 
1991 2 1 3 0 0 0.29 0.0599376 0.349938 1.08468e+006 915227 54856.5 8715 0.0275023 0.0275023 239.683 239.683 1 1 29831.3 29831.3 0 0 
1991 2 1 4 0 0 0.28 0.0599376 0.339938 237353 201218 12060.5 3176 0.0163265 0.0163265 51.8531 51.8531 1 1 3875.16 3875.16 0 0 
1992 1 1 1 0 0 0.65 0.25866 0.90866 3.50131e+007 2.30015e+007 5.94959e+006 7.10008e+006 0.0061062 0.0061062 43354.5 43354.5 1 0.036 213797 7696.69 0 0 
1992 1 1 2 0 0 0.49 0.281842 0.771842 9.8779e+006 6.88317e+006 1.93997e+006 2.86215e+006 0.0103106 0.0103106 29510.5 29510.5 1 0.766 101847 78014.8 0 0 
1992 1 1 3 0 0 0.33 0.220406 0.550406 1.23582e+006 950396 209473 342206 0.0146831 0.0146831 5024.65 5024.65 1 1 18145.7 18145.7 0 0 
1992 1 1 4 0 0 0.3 0.220406 0.520406 933363 727672 160383 214730 0.0230286 0.0230286 4944.94 4944.94 1 1 21494.1 21494.1 0 0 
1992 2 1 0 0 0 1.19 0.00329605 1.1933 2.65203e+008 1.54855e+008 510410 525419 0.0046382 0.0046382 2437 2437 1 0 1.23006e+006 0 0 0 
1992 2 1 1 0 0 0.52 0.0058775 0.525878 1.41125e+007 1.0975e+007 64505.6 87265 0.0134376 0.0134376 1172.63 1172.63 1 0.036 189638 6826.97 0 0 
1992 2 1 2 0 0 0.39 0.00640426 0.396404 4.56518e+006 3.76894e+006 24137.3 8410 0.0267209 0.0267209 224.723 224.723 1 0.766 121986 93441 0 0 
1992 2 1 3 0 0 0.29 0.00500826 0.295008 712717 617206 3091.13 3362 0.028742 0.028742 96.6307 96.6307 1 1 20484.9 20484.9 0 0 
1992 2 1 4 0 0 0.29 0.00500826 0.295008 554678 480346 2405.7 728 0.0309314 0.0309314 22.5181 22.5181 1 1 17157 17157 0 0 
1993 1 1 1 0 0 0.67 0.446048 1.11605 8.04149e+007 4.84506e+007 2.16113e+007 1.51638e+007 0.00577626 0.00577626 87590.2 87590.2 1 0.036 464497 16721.9 0 0 
1993 1 1 2 0 0 0.51 0.486023 0.996023 8.34102e+006 5.2813e+006 2.56684e+006 558458 0.0163847 0.0163847 9150.15 9150.15 1 0.766 136665 104685 0 0 
1993 1 1 3 0 0 0.35 0.38008 0.73008 3.07116e+006 2.17956e+006 828410 211339 0.0178928 0.0178928 3781.45 3781.45 1 1 54951.6 54951.6 0 0 
1993 1 1 4 0 0 0.33 0.38008 0.71008 943608 675594 256780 1.33609e+006 0.0232962 0.0232962 31125.8 31125.8 1 1 21982.5 21982.5 0 0 
1993 2 1 0 0 0 1.14 0.0416082 1.18161 1.93745e+008 1.13665e+008 4.72938e+006 9.66291e+006 0.00347367 0.00347367 33565.8 33565.8 1 0 673008 0 0 0 
1993 2 1 1 0 0 0.52 0.0741956 0.594196 2.63417e+007 1.98603e+007 1.47354e+006 850927 0.00733712 0.00733712 6243.35 6243.35 1 0.036 193272 6957.79 0 0 
1993 2 1 2 0 0 0.4 0.0808451 0.480845 3.08071e+006 2.44576e+006 197727 154686 0.0167194 0.0167194 2586.26 2586.26 1 0.766 51507.8 39454.9 0 0 
1993 2 1 3 0 0 0.32 0.0632226 0.383223 1.4799e+006 1.22934e+006 77721.8 70612 0.0208143 0.0208143 1469.74 1469.74 1 1 30803.1 30803.1 0 0 
1993 2 1 4 0 0 0.31 0.0632226 0.373223 463882 387151 24476.7 12195 0.0223966 0.0223966 273.126 273.126 1 1 10389.4 10389.4 0 0 
1994 1 1 1 0 0 0.69 0.498119 1.18812 5.94381e+007 3.47791e+007 1.73241e+007 2.37416e+007 0.00607808 0.00607808 144303 144303 1 0.036 361269 13005.7 0 0 
1994 1 1 2 0 0 0.53 0.542761 1.07276 1.45408e+007 8.91803e+006 4.84036e+006 4.81775e+006 0.0145701 0.0145701 70195.2 70195.2 1 0.766 211861 162285 0 0 
1994 1 1 3 0 0 0.36 0.42445 0.78445 1.90468e+006 1.31996e+006 560257 938476 0.020636 0.020636 19366.3 19366.3 1 1 39305 39305 0 0 
1994 1 1 4 0 0 0.34 0.42445 0.76445 1.32818e+006 928499 394102 386452 0.0211218 0.0211218 8162.58 8162.58 1 1 28053.6 28053.6 0 0 
1994 2 1 0 0 0 1.11 0.0157005 1.1257 1.83202e+008 1.09946e+008 1.72622e+006 0 0.00355205 0.00355205 0 0 1 0 650744 0 0 0 
