Area-3r    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1986        517488408          82051         638618         282315          0.434
1987        116074195         203829        1024681         395296          0.596
1988        365731977         281314         476181         330358          0.802
1989        105934737         104601         553437         350409          0.896
1990        210288557         108823         332024         163224          0.531
1991        119627682         165782         573359         274839          0.630
1992        265235662         128062         352318          86788          0.275
1993        195102023         197399         676278         175786          0.540
1994        187568975         243410         643790         267281          0.546
1995        140520493         146340         495366         173607          0.434
1996        766555041         245365         711592         159024          0.448
1997         60653004         184927        1582691         470670          0.813
1998         94430081         345117         547134         462081          1.078
1999        121503890         115039         341695         191253          1.031
2000        126174489          58555         312446         186837          0.915
2001        121874326          62726         344990         193684          0.701
2002         28517230          62458         324114         116298          0.564
2003         62961496          58820         114973          34673          0.323
2004         41085186          26115         156742          31285          0.236
2005         63720909          53475         155509          13991          0.105
2006        119936319          49588         203232           7094          0.045
2007         63080322          85934         383970          74972          0.272
2008         92099799         133643         332477          74933          0.302
2009        146883946          99013         320909           6261          0.026
2010         15789223         247817         690260          61241          0.327
2011         11500983         240749         320072          92452          0.207
2012         73367970         157769         195074          40116          0.126
2013        184965044          55257         254128           9844          0.061
2014        225361627          99979         582182          90876          0.245
2015          4535806         194945         782530         104631          0.323
2016        556048971         229881         279019          42845          0.126
                              170037
