Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1986 1 1 1 0 0 0.76 0.28163 1.04163 9.18771e+007 5.70794e+007 1.60753e+007 1.89386e+007 0.00612192 0.00612192 115940 115940 1 0.036 562464 20248.7 0 0 
1986 1 1 2 0 0 0.6 0.307102 0.907102 6.30526e+006 4.14493e+006 1.27292e+006 2.06275e+006 0.0097272 0.0097272 20064.7 20064.7 1 0.766 61332.6 46980.7 0 0 
1986 1 1 3 0 0 0.42 0.234256 0.654256 257830 189227 44327.6 160842 0.0124354 0.0124354 2000.13 2000.13 1 1 3206.22 3206.22 0 0 
1986 1 1 4 0 0 0.36 0.234256 0.594256 729966 550343 128921 0 0.0159119 0.0159119 0 0 1 1 11615.1 11615.1 0 0 
1986 2 1 0 0 0 1.34 0.0759272 1.41593 5.17488e+008 2.76775e+008 2.10148e+007 7.96453e+006 0.00401849 0.00401849 32005.4 32005.4 1 0 2.07952e+006 0 0 0 
1986 2 1 1 0 0 0.6 0.133963 0.733963 3.24215e+007 2.29699e+007 3.07712e+006 7.98688e+006 0.0126501 0.0126501 101035 101035 1 0.036 410136 14764.9 0 0 
1986 2 1 2 0 0 0.47 0.146079 0.616079 2.54539e+006 1.90029e+006 277592 533151 0.0210498 0.0210498 11222.7 11222.7 1 0.766 53580 41042.3 0 0 
1986 2 1 3 0 0 0.37 0.111428 0.481428 134028 106375 11853.2 2472 0.018856 0.018856 46.612 46.612 1 1 2527.22 2527.22 0 0 
1986 2 1 4 0 0 0.35 0.111428 0.461428 402921 322752 35963.7 0 0.020372 0.020372 0 0 1 1 8208.31 8208.31 0 0 
1987 1 1 1 0 0 0.75 0.568424 1.31842 1.25595e+008 6.97734e+007 3.96609e+007 3.37598e+007 0.00642898 0.00642898 217041 217041 1 0.036 807446 29068 0 0 
1987 1 1 2 0 0 0.6 0.619834 1.21983 1.55624e+007 8.9907e+006 5.57274e+006 1.40202e+007 0.0116638 0.0116638 163529 163529 1 0.766 181517 139042 0 0 
1987 1 1 3 0 0 0.42 0.472808 0.892808 1.37466e+006 909187 429871 453114 0.0204766 0.0204766 9278.22 9278.22 1 1 28148.3 28148.3 0 0 
1987 1 1 4 0 0 0.36 0.472808 0.832808 336810 228572 108070 199797 0.0224777 0.0224777 4490.97 4490.97 1 1 7570.71 7570.71 0 0 
1987 2 1 0 0 0 1.43 0.00110349 1.4311 1.16074e+008 6.17197e+007 68107 5156 0.00690042 0.00690042 35.5786 35.5786 1 0 800960 0 0 0 
1987 2 1 1 0 0 0.57 0.00194695 0.571947 3.36037e+007 2.55914e+007 49825.2 65133 0.0127681 0.0127681 831.624 831.624 1 0.036 429055 15446 0 0 
1987 2 1 2 0 0 0.44 0.00212304 0.442123 4.59526e+006 3.71394e+006 7884.84 4402 0.0203888 0.0203888 89.7517 89.7517 1 0.766 93692 71768.1 0 0 
1987 2 1 3 0 0 0.35 0.00161945 0.351619 562928 474608 768.602 0 0.0315782 0.0315782 0 0 1 1 17776.3 17776.3 0 0 
1987 2 1 4 0 0 0.34 0.00161945 0.341619 146454 124059 200.908 0 0.0296158 0.0296158 0 0 1 1 4337.35 4337.35 0 0 
1988 1 1 1 0 0 0.71 0.676968 1.38697 2.7747e+007 1.50075e+007 1.01596e+007 6.58391e+006 0.00511373 0.00511373 33668.3 33668.3 1 0.036 141890 5108.05 0 0 
