Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1986 1 1 1 0 0 0.76 0.285414 1.04541 8.13906e+007 5.04853e+007 1.44092e+007 1.89386e+007 0.00612192 0.00612192 115940 115940 1 0.036 498267 17937.6 0 0 
1986 1 1 2 0 0 0.6 0.316685 0.916685 5.61848e+006 3.67844e+006 1.16491e+006 2.06275e+006 0.0097272 0.0097272 20064.7 20064.7 1 0.766 54652.1 41863.5 0 0 
1986 1 1 3 0 0 0.42 0.2559 0.6759 276350 200875 51403.8 160842 0.0124354 0.0124354 2000.13 2000.13 1 1 3436.51 3436.51 0 0 
1986 1 1 4 0 0 0.36 0.2559 0.6159 690210 515327 131872 0 0.0159119 0.0159119 0 0 1 1 10982.5 10982.5 0 0 
1986 2 1 0 0 0 1.34 0.0758679 1.41587 5.10341e+008 2.72959e+008 2.07088e+007 7.96453e+006 0.00401849 0.00401849 32005.4 32005.4 1 0 2.0508e+006 0 0 0 
1986 2 1 1 0 0 0.6 0.137411 0.737411 2.86125e+007 2.02407e+007 2.78129e+006 7.98688e+006 0.0126501 0.0126501 101035 101035 1 0.036 361953 13030.3 0 0 
1986 2 1 2 0 0 0.47 0.152466 0.622466 2.24651e+006 1.67236e+006 254978 533151 0.0210498 0.0210498 11222.7 11222.7 1 0.766 47288.6 36223 0 0 
1986 2 1 3 0 0 0.37 0.123201 0.493201 140579 110973 13671.9 2472 0.018856 0.018856 46.612 46.612 1 1 2650.75 2650.75 0 0 
1986 2 1 4 0 0 0.35 0.123201 0.473201 372820 297023 36593.5 0 0.020372 0.020372 0 0 1 1 7595.08 7595.08 0 0 
1987 1 1 1 0 0 0.75 0.576062 1.32606 1.23867e+008 6.86077e+007 3.95223e+007 3.37598e+007 0.00642898 0.00642898 217041 217041 1 0.036 796341 28668.3 0 0 
1987 1 1 2 0 0 0.6 0.639177 1.23918 1.36868e+007 7.84619e+006 5.01511e+006 1.40202e+007 0.0116638 0.0116638 163529 163529 1 0.766 159640 122285 0 0 
1987 1 1 3 0 0 0.42 0.516491 0.936491 1.20552e+006 782660 404237 453114 0.0204766 0.0204766 9278.22 9278.22 1 1 24684.9 24684.9 0 0 
1987 1 1 4 0 0 0.36 0.516491 0.876491 318116 211871 109429 199797 0.0224777 0.0224777 4490.97 4490.97 1 1 7150.5 7150.5 0 0 
1987 2 1 0 0 0 1.43 0.00110263 1.4311 1.16127e+008 6.17478e+007 68084.8 5156 0.00690042 0.00690042 35.5786 35.5786 1 0 801325 0 0 0 
1987 2 1 1 0 0 0.57 0.00199706 0.571997 3.28894e+007 2.50468e+007 50020.1 65133 0.0127681 0.0127681 831.624 831.624 1 0.036 419935 15117.7 0 0 
1987 2 1 2 0 0 0.44 0.00221587 0.442216 3.96402e+006 3.20363e+006 7098.81 4402 0.0203888 0.0203888 89.7517 89.7517 1 0.766 80821.7 61909.4 0 0 
1987 2 1 3 0 0 0.35 0.00179054 0.351791 472565 398390 713.334 0 0.0315782 0.0315782 0 0 1 1 14922.7 14922.7 0 0 
1987 2 1 4 0 0 0.34 0.00179054 0.341791 132413 112156 200.821 0 0.0296158 0.0296158 0 0 1 1 3921.51 3921.51 0 0 
1988 1 1 1 0 0 0.71 0.686064 1.39606 2.77596e+007 1.49615e+007 1.02645e+007 6.58391e+006 0.00511373 0.00511373 33668.3 33668.3 1 0.036 141955 5110.38 0 0 
1988 1 1 2 0 0 0.57 0.761231 1.33123 1.85627e+007 1.02607e+007 7.81074e+006 1.73206e+007 0.0130874 0.0130874 226682 226682 1 0.766 242937 186090 0 0 
1988 1 1 3 0 0 0.39 0.615118 1.00512 2.54732e+006 1.60677e+006 988355 893461 0.0230178 0.0230178 20565.5 20565.5 1 1 58633.6 58633.6 0 0 
1988 1 1 4 0 0 0.35 0.615118 0.965118 426494 273569 168277 19296 0.0361685 0.0361685 697.908 697.908 1 1 15425.7 15425.7 0 0 
1988 2 1 0 0 0 1.54 0.05129 1.59129 3.60728e+008 1.80521e+008 9.25892e+006 8.76886e+006 0.00408872 0.00408872 35853.4 35853.4 1 0 1.47492e+006 0 0 0 
1988 2 1 1 0 0 0.58 0.0928956 0.672896 6.87243e+006 5.00214e+006 464677 852565 0.00642828 0.00642828 5480.52 5480.52 1 0.036 44177.9 1590.4 0 0 
1988 2 1 2 0 0 0.43 0.103074 0.533074 4.90337e+006 3.80075e+006 391756 233220 0.0160827 0.0160827 3750.81 3750.81 1 0.766 78859.5 60406.4 0 0 
1988 2 1 3 0 0 0.35 0.0832892 0.433289 932323 756608 63017.2 143977 0.0224875 0.0224875 3237.68 3237.68 1 1 20965.6 20965.6 0 0 
1988 2 1 4 0 0 0.34 0.0832892 0.423289 162468 132461 11032.6 13414 0.0314608 0.0314608 422.015 422.015 1 1 5111.37 5111.37 0 0 
1989 1 1 1 0 0 0.68 0.862841 1.54284 7.34669e+007 3.74385e+007 3.23035e+007 4.70045e+007 0.00613012 0.00613012 288143 288143 1 0.036 450361 16213 0 0 
1989 1 1 2 0 0 0.55 0.957377 1.50738 3.50651e+006 1.811e+006 1.73381e+006 1.8442e+006 0.0104668 0.0104668 19303 19303 1 0.766 36702.1 28113.8 0 0 
1989 1 1 3 0 0 0.39 0.773614 1.16361 2.87729e+006 1.70035e+006 1.31542e+006 2.80604e+006 0.0143234 0.0143234 40192.2 40192.2 1 1 41212.7 41212.7 0 0 
1989 1 1 4 0 0 0.36 0.773614 1.13361 710891 425258 328986 4091 0.0187797 0.0187797 76.8276 76.8276 1 1 13350.3 13350.3 0 0 
1989 2 1 0 0 0 1.33 0.00327232 1.33327 1.07678e+008 5.94722e+007 194612 159140 0.00478346 0.00478346 761.24 761.24 1 0 515073 0 0 0 
1989 2 1 1 0 0 0.49 0.00592676 0.495927 1.57052e+007 1.23822e+007 73386.2 190120 0.00930316 0.00930316 1768.72 1768.72 1 0.036 146108 5259.9 0 0 
1989 2 1 2 0 0 0.36 0.00657612 0.366576 776659 650217 4275.9 12901 0.0127297 0.0127297 164.226 164.226 1 0.766 9886.66 7573.18 0 0 
1989 2 1 3 0 0 0.33 0.00531387 0.335314 898736 763576 4057.55 0 0.0140224 0.0140224 0 0 1 1 12602.5 12602.5 0 0 
1989 2 1 4 0 0 0.32 0.00531387 0.325314 228813 195323 1037.92 0 0.0175215 0.0175215 0 0 1 1 4009.15 4009.15 0 0 
1990 1 1 1 0 0 0.63 0.425221 1.05522 2.83853e+007 1.75356e+007 7.45651e+006 9.3022e+006 0.00745268 0.00745268 69326.3 69326.3 1 0.036 211547 7615.68 0 0 
1990 1 1 2 0 0 0.49 0.47181 0.96181 9.56458e+006 6.14362e+006 2.89862e+006 2.79071e+006 0.00983297 0.00983297 27441 27441 1 0.766 94048.3 72041 0 0 
1990 1 1 3 0 0 0.34 0.381249 0.721249 538305 383516 146215 412858 0.015173 0.015173 6264.27 6264.27 1 1 8167.67 8167.67 0 0 
1990 1 1 4 0 0 0.31 0.381249 0.691249 807970 583317 222389 124997 0.0201785 0.0201785 2522.25 2522.25 1 1 16303.6 16303.6 0 0 
1990 2 1 0 0 0 1.28 0.0499384 1.32994 1.98082e+008 1.09547e+008 5.4706e+006 9.79264e+006 0.00438372 0.00438372 42928.2 42928.2 1 0 868337 0 0 0 
1990 2 1 1 0 0 0.48 0.0904475 0.570448 9.88137e+006 7.53041e+006 681107 1.37715e+006 0.00768936 0.00768936 10589.4 10589.4 1 0.036 75981.4 2735.33 0 0 
1990 2 1 2 0 0 0.35 0.100357 0.450357 3.65559e+006 2.94325e+006 295377 285578 0.011205 0.011205 3199.89 3199.89 1 0.766 40960.8 31376 0 0 
1990 2 1 3 0 0 0.3 0.0810943 0.381094 261694 217603 17646.4 42584 0.0165489 0.0165489 704.718 704.718 1 1 4330.74 4330.74 0 0 
1990 2 1 4 0 0 0.29 0.0810943 0.371094 404753 338140 27421.3 12527 0.0197684 0.0197684 247.638 247.638 1 1 8001.3 8001.3 0 0 
1991 1 1 1 0 0 0.63 0.540342 1.17034 5.23915e+007 3.08768e+007 1.66841e+007 2.40087e+007 0.00732518 0.00732518 175868 175868 1 0.036 383777 13816 0 0 
1991 1 1 2 0 0 0.49 0.599544 1.08954 5.58567e+006 3.40217e+006 2.03975e+006 1.39065e+006 0.0114452 0.0114452 15916.2 15916.2 1 0.766 63929 48969.6 0 0 
1991 1 1 3 0 0 0.33 0.484465 0.814465 2.33007e+006 1.59386e+006 772168 526003 0.0363807 0.0363807 19136.3 19136.3 1 1 84769.6 84769.6 0 0 
1991 1 1 4 0 0 0.3 0.484465 0.784465 458038 317421 153780 184169 0.0263288 0.0263288 4848.95 4848.95 1 1 12059.6 12059.6 0 0 
1991 2 1 0 0 0 1.22 0.0395879 1.25959 1.241e+008 7.05658e+007 2.79355e+006 1.44423e+007 0.00367053 0.00367053 53011.1 53011.1 1 0 455513 0 0 0 
1991 2 1 1 0 0 0.47 0.0717009 0.541701 1.6255e+007 1.25503e+007 899871 942074 0.00567683 0.00567683 5347.99 5347.99 1 0.036 92277 3321.97 0 0 
1991 2 1 2 0 0 0.35 0.0795567 0.429557 1.87885e+006 1.52739e+006 121514 30405 0.0137562 0.0137562 418.257 418.257 1 0.766 25845.8 19797.9 0 0 
1991 2 1 3 0 0 0.29 0.0642863 0.354286 1.03193e+006 868938 55860.8 8715 0.0275023 0.0275023 239.683 239.683 1 1 28380.6 28380.6 0 0 
1991 2 1 4 0 0 0.28 0.0642863 0.344286 209032 176846 11368.8 3176 0.0163265 0.0163265 51.8531 51.8531 1 1 3412.77 3412.77 0 0 
1992 1 1 1 0 0 0.65 0.260502 0.910502 3.52159e+007 2.31167e+007 6.02193e+006 7.10008e+006 0.0061062 0.0061062 43354.5 43354.5 1 0.036 215035 7741.27 0 0 
