Area-3r    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1986        510593869          78667         606998         282315          0.437
1987        116378868         194505        1003030         395296          0.600
1988        360079458         273219         467515         330358          0.807
1989        106681263         101962         544091         350409          0.902
1990        204871416         106072         330243         163224          0.534
1991        123580400         162634         560253         274839          0.634
1992        263839442         124829         355027          86788          0.277
1993        192969266         198055         675571         175786          0.544
1994        182713190         241569         637791         267281          0.550
1995        147135212         144062         484359         173607          0.437
1996        777214677         240225         725751         159024          0.451
1997         62594324         187024        1605226         470670          0.818
1998         94139464         347906         554401         462081          1.084
1999        120129417         115186         341482         191253          1.050
2000        125456555          59459         309941         186837          0.929
2001        118117455          64045         345269         193684          0.715
2002         28133008          63429         316732         116298          0.572
2003         62565888          58447         114001          34673          0.328
2004         39879426          25783         155541          31285          0.240
2005         69671986          53422         152853          13991          0.106
2006        114987962          49347         216426           7094          0.046
2007         58142394          90189         378183          74972          0.276
2008         84315959         132366         317146          74933          0.306
2009        136026658          93793         297236           6261          0.026
2010         13857347         229747         639043          61241          0.332
2011         10389040         223784         296155          92452          0.210
2012         78026612         144471         178102          40116          0.128
2013        194943630          51509         262638           9844          0.062
2014        220238276         102855         611319          90876          0.249
2015          7161939         203696         781562         104631          0.328
2016        492120877         232340         284403          42845          0.128
2017         25293111         166512        1276160         115642          0.284
2018        246810729         305278         428862          75143          0.303
                              185804
