Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1986 1 1 1 0 0 0.76 0.285956 1.04596 8.09941e+007 5.02281e+007 1.4363e+007 1.89386e+007 0.00612192 0.00612192 115940 115940 1 0.036 495840 17850.2 0 0 
1986 1 1 2 0 0 0.6 0.316285 0.916285 5.59889e+006 3.66624e+006 1.15958e+006 2.06275e+006 0.0097272 0.0097272 20064.7 20064.7 1 0.766 54461.6 41717.6 0 0 
1986 1 1 3 0 0 0.42 0.258149 0.678149 271999 197515 50988.2 160842 0.0124354 0.0124354 2000.13 2000.13 1 1 3382.41 3382.41 0 0 
1986 1 1 4 0 0 0.36 0.258149 0.618149 693287 517102 133489 0 0.0159119 0.0159119 0 0 1 1 11031.5 11031.5 0 0 
1986 2 1 0 0 0 1.34 0.0757007 1.4157 5.09465e+008 2.72508e+008 2.0629e+007 7.96453e+006 0.00401849 0.00401849 32005.4 32005.4 1 0 2.04728e+006 0 0 0 
1986 2 1 1 0 0 0.6 0.13757 0.73757 2.84577e+007 2.01298e+007 2.76925e+006 7.98688e+006 0.0126501 0.0126501 101035 101035 1 0.036 359994 12959.8 0 0 
1986 2 1 2 0 0 0.47 0.15216 0.62216 2.23957e+006 1.66743e+006 253716 533151 0.0210498 0.0210498 11222.7 11222.7 1 0.766 47142.6 36111.2 0 0 
1986 2 1 3 0 0 0.37 0.124192 0.494192 138055 108930 13528.3 2472 0.018856 0.018856 46.612 46.612 1 1 2603.15 2603.15 0 0 
1986 2 1 4 0 0 0.35 0.124192 0.474192 373641 297541 36952.1 0 0.020372 0.020372 0 0 1 1 7611.81 7611.81 0 0 
1987 1 1 1 0 0 0.75 0.577155 1.32716 1.23675e+008 6.84719e+007 3.95189e+007 3.37598e+007 0.00642898 0.00642898 217041 217041 1 0.036 795107 28623.8 0 0 
1987 1 1 2 0 0 0.6 0.638369 1.23837 1.36106e+007 7.80502e+006 4.98248e+006 1.40202e+007 0.0116638 0.0116638 163529 163529 1 0.766 158751 121604 0 0 
1987 1 1 3 0 0 0.42 0.521031 0.941031 1.20216e+006 778986 405875 453114 0.0204766 0.0204766 9278.22 9278.22 1 1 24616.2 24616.2 0 0 
1987 1 1 4 0 0 0.36 0.521031 0.881031 316772 210567 109712 199797 0.0224777 0.0224777 4490.97 4490.97 1 1 7120.29 7120.29 0 0 
1987 2 1 0 0 0 1.43 0.0011002 1.4311 1.16975e+008 6.21985e+007 68430.7 5156 0.00690042 0.00690042 35.5786 35.5786 1 0 807173 0 0 0 
1987 2 1 1 0 0 0.57 0.00199937 0.571999 3.28025e+007 2.49806e+007 49945.6 65133 0.0127681 0.0127681 831.624 831.624 1 0.036 418825 15077.7 0 0 
1987 2 1 2 0 0 0.44 0.00221143 0.442211 3.94513e+006 3.18837e+006 7050.85 4402 0.0203888 0.0203888 89.7517 89.7517 1 0.766 80436.6 61614.5 0 0 
1987 2 1 3 0 0 0.35 0.00180494 0.351805 469115 395479 713.818 0 0.0315782 0.0315782 0 0 1 1 14813.8 14813.8 0 0 
1987 2 1 4 0 0 0.34 0.00180494 0.341805 131256 111176 200.666 0 0.0296158 0.0296158 0 0 1 1 3887.25 3887.25 0 0 
1988 1 1 1 0 0 0.71 0.687366 1.39737 2.79623e+007 1.50631e+007 1.03539e+007 6.58391e+006 0.00511373 0.00511373 33668.3 33668.3 1 0.036 142991 5147.69 0 0 
1988 1 1 2 0 0 0.57 0.760269 1.33027 1.85136e+007 1.02374e+007 7.78318e+006 1.73206e+007 0.0130874 0.0130874 226682 226682 1 0.766 242295 185598 0 0 
1988 1 1 3 0 0 0.39 0.620524 1.01052 2.53519e+006 1.59552e+006 990059 893461 0.0230178 0.0230178 20565.5 20565.5 1 1 58354.5 58354.5 0 0 
1988 1 1 4 0 0 0.35 0.620524 0.970524 423240 270865 168078 19296 0.0361685 0.0361685 697.908 697.908 1 1 15308 15308 0 0 
1988 2 1 0 0 0 1.54 0.051177 1.59118 3.59448e+008 1.79888e+008 9.2061e+006 8.76886e+006 0.00408872 0.00408872 35853.4 35853.4 1 0 1.46968e+006 0 0 0 
1988 2 1 1 0 0 0.58 0.093003 0.673003 6.91359e+006 5.03186e+006 467978 852565 0.00642828 0.00642828 5480.52 5480.52 1 0.036 44442.5 1599.93 0 0 
1988 2 1 2 0 0 0.43 0.102867 0.532867 4.89511e+006 3.7947e+006 390350 233220 0.0160827 0.0160827 3750.81 3750.81 1 0.766 78726.7 60304.7 0 0 
1988 2 1 3 0 0 0.35 0.083959 0.433959 922882 748713 62861.2 143977 0.0224875 0.0224875 3237.68 3237.68 1 1 20753.3 20753.3 0 0 
1988 2 1 4 0 0 0.34 0.083959 0.423959 160359 130701 10973.5 13414 0.0314608 0.0314608 422.015 422.015 1 1 5045.02 5045.02 0 0 
1989 1 1 1 0 0 0.68 0.864479 1.54448 7.32143e+007 3.72868e+007 3.22337e+007 4.70045e+007 0.00613012 0.00613012 288143 288143 1 0.036 448813 16157.3 0 0 
1989 1 1 2 0 0 0.55 0.956167 1.50617 3.52714e+006 1.82248e+006 1.7426e+006 1.8442e+006 0.0104668 0.0104668 19303 19303 1 0.766 36917.9 28279.1 0 0 
1989 1 1 3 0 0 0.39 0.780414 1.17041 2.87304e+006 1.69317e+006 1.32137e+006 2.80604e+006 0.0143234 0.0143234 40192.2 40192.2 1 1 41151.8 41151.8 0 0 
1989 1 1 4 0 0 0.36 0.780414 1.14041 702918 419325 327247 4091 0.0187797 0.0187797 76.8276 76.8276 1 1 13200.6 13200.6 0 0 
1989 2 1 0 0 0 1.33 0.0032651 1.33327 1.07682e+008 5.94747e+007 194191 159140 0.00478346 0.00478346 761.24 761.24 1 0 515094 0 0 0 
1989 2 1 1 0 0 0.49 0.00593362 0.495934 1.56256e+007 1.23194e+007 73098.4 190120 0.00930316 0.00930316 1768.72 1768.72 1 0.036 145368 5233.24 0 0 
1989 2 1 2 0 0 0.36 0.00656294 0.366563 782173 654837 4297.66 12901 0.0127297 0.0127297 164.226 164.226 1 0.766 9956.85 7626.95 0 0 
1989 2 1 3 0 0 0.33 0.00535661 0.335357 891327 757266 4056.38 0 0.0140224 0.0140224 0 0 1 1 12498.6 12498.6 0 0 
1989 2 1 4 0 0 0.32 0.00535661 0.325357 224713 191819 1027.5 0 0.0175215 0.0175215 0 0 1 1 3937.32 3937.32 0 0 
1990 1 1 1 0 0 0.63 0.426028 1.05603 2.83867e+007 1.75306e+007 7.46853e+006 9.3022e+006 0.00745268 0.00745268 69326.3 69326.3 1 0.036 211557 7616.05 0 0 
1990 1 1 2 0 0 0.49 0.471213 0.961213 9.51604e+006 6.11397e+006 2.88098e+006 2.79071e+006 0.00983297 0.00983297 27441 27441 1 0.766 93570.9 71675.3 0 0 
1990 1 1 3 0 0 0.34 0.3846 0.7246 542134 385675 148330 412858 0.015173 0.015173 6264.27 6264.27 1 1 8225.77 8225.77 0 0 
1990 1 1 4 0 0 0.31 0.3846 0.6946 799676 576474 221712 124997 0.0201785 0.0201785 2522.25 2522.25 1 1 16136.2 16136.2 0 0 
1990 2 1 0 0 0 1.28 0.0498283 1.32983 1.97189e+008 1.09057e+008 5.43415e+006 9.79264e+006 0.00438372 0.00438372 42928.2 42928.2 1 0 864419 0 0 0 
1990 2 1 1 0 0 0.48 0.0905521 0.570552 9.87387e+006 7.52434e+006 681345 1.37715e+006 0.00768936 0.00768936 10589.4 10589.4 1 0.036 75923.7 2733.25 0 0 
1990 2 1 2 0 0 0.35 0.100156 0.450156 3.63921e+006 2.93033e+006 293491 285578 0.011205 0.011205 3199.89 3199.89 1 0.766 40777.2 31235.3 0 0 
1990 2 1 3 0 0 0.3 0.0817465 0.381747 262674 218351 17849.4 42584 0.0165489 0.0165489 704.718 704.718 1 1 4346.96 4346.96 0 0 
1990 2 1 4 0 0 0.29 0.0817465 0.371747 399258 333448 27258.2 12527 0.0197684 0.0197684 247.638 247.638 1 1 7892.67 7892.67 0 0 
1991 1 1 1 0 0 0.63 0.541368 1.17137 5.21609e+007 3.07282e+007 1.66352e+007 2.40087e+007 0.00732518 0.00732518 175868 175868 1 0.036 382088 13755.2 0 0 
1991 1 1 2 0 0 0.49 0.598786 1.08879 5.58084e+006 3.40029e+006 2.03605e+006 1.39065e+006 0.0114452 0.0114452 15916.2 15916.2 1 0.766 63873.8 48927.3 0 0 
1991 1 1 3 0 0 0.33 0.488723 0.818723 2.3201e+006 1.58411e+006 774191 526003 0.0363807 0.0363807 19136.3 19136.3 1 1 84406.7 84406.7 0 0 
1991 1 1 4 0 0 0.3 0.488723 0.788723 454619 314469 153688 184169 0.0263288 0.0263288 4848.95 4848.95 1 1 11969.6 11969.6 0 0 
1991 2 1 0 0 0 1.22 0.0395007 1.2595 1.24647e+008 7.08794e+007 2.79978e+006 1.44423e+007 0.00367053 0.00367053 53011.1 53011.1 1 0 457521 0 0 0 
1991 2 1 1 0 0 0.47 0.0717839 0.541784 1.61669e+007 1.24818e+007 895993 942074 0.00567683 0.00567683 5347.99 5347.99 1 0.036 91776.6 3303.96 0 0 
1991 2 1 2 0 0 0.35 0.0793973 0.429397 1.87865e+006 1.52734e+006 121266 30405 0.0137562 0.0137562 418.257 418.257 1 0.766 25843.1 19795.8 0 0 
1991 2 1 3 0 0 0.29 0.0648033 0.354803 1.02315e+006 861331 55817.1 8715 0.0275023 0.0275023 239.683 239.683 1 1 28139 28139 0 0 
