area,aar,hy,n_samples,sopcorr,n0,n1,n2,n3,n4,mw0,mw1,mw2,mw3,mw4,ton
6,1995,2,0,1.3150455805,27.627209064,23.684745177,7.8045485789,0.8898260877,0.5470568675,0.0055275935,0.0108266635,0.0155742973,0.0186347799,0.0221882765,0.55940907
6,1996,2,0,0.789780131,16779.396056,3679.4077353,583.34144619,90.8972157,165.16744626,0.0033197203,0.0065021957,0.0093534937,0.0111915352,0.0133256673,88.301657418
6,1997,2,0,0.7056805281,4205.0134408,25354.271468,911.73158153,106.24695443,49.083796265,0.0029662205,0.0058098105,0.0083574885,0.0099998065,0.0119066859,169.04316998
6,1998,2,0,0.6990222282,721.95998926,62.335210591,57.406162217,6.1451231674,1.4480097943,0.0029382333,0.0057549933,0.0082786332,0.0099054554,0.0117943429,3.0332187337
6,1999,2,0,0.9267503959,22558.953057,952.49871919,80.426937932,906.51899055,143.71822337,0.0038954539,0.0076298608,0.0109756547,0.0131324647,0.0156367158,110.17964281
6,2000,2,0,0.9860485936,60.496212995,35.340004176,5.4153958533,6.3402883318,5.8323839015,0.0041447049,0.008118058,0.0116779329,0.0139727465,0.0166372323,0.7864977486
6,2001,2,0,0.655002404,65506.738641,7762.3817305,173.33690472,25.345040872,92.805820897,0.0027532027,0.0053925816,0.0077572993,0.009281675,0.0110516127,224.8181309
6,2002,2,0,1.0874176241,0,19.078002296,3.3514030983,0.8464152323,0.5850669151,0.0045707941,0.008952621,0.0128784627,0.0154091907,0.0183475944,0.2377361881
6,2003,2,0,0.6714866813,14371.90844,576.75360638,1011.4308327,46.309042517,9.0815752126,0.0028224918,0.0055282953,0.0079525253,0.0095152645,0.0113297458,52.340022542
6,2004,2,0,0.670979633,132.26649544,198.44992303,9.1615869422,13.621704711,2.280317888,0.0028203605,0.0055241208,0.0079465202,0.0095080794,0.0113211906,1.69743546
6,2005,2,0,0.9329731012,0.2152704415,12.150971355,10.740845818,1.0358761005,2.0967244587,0.0039216101,0.0076810918,0.0110493512,0.0132206432,0.0157417092,0.259557286
6,2006,2,0,1.1475232255,0.0000568723,33.068150229,7.8919978701,5.2385638637,5.0329178522,0.0048234388,0.0094474656,0.013590303,0.0162609138,0.0193617339,0.6022949784
6,2007,2,0,0.7004052194,0.8886751597,115.79201859,18.44393354,1.3561478658,0.5201255982,0.0029440465,0.0057663793,0.0082950122,0.009925053,0.0118176776,0.8429161711
6,2008,2,0,0.8120660775,0.223172898,27.468232205,2.5275506746,1.317617328,0.1331935721,0.0034133959,0.0066856741,0.0096174298,0.011507337,0.0137016898,0.2257012105
6,2009,2,0,0.4602038994,16.694919501,98.29035462,3.9302232199,0.6611924099,0.1663509927,0.0019343969,0.0037888213,0.0054502692,0.0065212936,0.0077648498,0.4317234884
6,2010,2,,1,0,0,0,0,0,0.0042033475,0.0082329188,0.0118431616,0.0141704441,0.0168726292,0
6,2011,2,,1,0,0,0,0,0,0.0042033475,0.0082329188,0.0118431616,0.0141704441,0.0168726292,0
6,2012,2,0,0.8828200484,0.0139962715,6.1870228488,3.2123442907,12.215336338,0.7648347579,0.0037107994,0.0072681858,0.0104553805,0.0125099522,0.0148954953,0.2428125168
6,2013,2,,1,0,0,0,0,0,0.0042033475,0.0082329188,0.0118431616,0.0141704441,0.0168726292,0
6,2014,2,0,1.1475950925,28.04609816,5.5250128488,4.8367518069,2.2189951761,4.7881522793,0.0048237409,0.0094480572,0.0135911541,0.0162619322,0.0193629465,0.3820226737
6,2015,2,0,0.7115218992,0.0874500229,36.180094986,4.5842537563,1.4184788079,0.5906444297,0.0029907738,0.005857902,0.0084266688,0.0100825813,0.0120052452,0.2722237426
6,2016,2,0,0.8030023794,1.1493102971,0.4918795536,1.2466739109,0.1728093213,0.0878527324,0.003375298,0.0066110534,0.009510087,0.0113789004,0.0135487614,0.0221437598
6,2017,2,0,0.909173399,0.0000191366,0.011743913,0.0017586338,0.0019765129,0.0004303614,0.0038215717,0.0074851508,0.0107674875,0.0128833909,0.0153401457,0.0001389802
6,2018,2,,1,0,0,0,0,0,0.0042033475,0.0082329188,0.0118431616,0.0141704441,0.0168726292,0
6,2019,2,,1,0,0,0,0,0,0.0042033475,0.0082329188,0.0118431616,0.0141704441,0.0168726292,0
6,2020,2,,1,0,0,0,0,0,0.0042033475,0.0082329188,0.0118431616,0.0141704441,0.0168726292,0
6,2021,2,,1,0,0,0,0,0,0.0042033475,0.0082329188,0.0118431616,0.0141704441,0.0168726292,0
7r,1983,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,1984,1,0,1.0220312354,0,34482.971259,4856.4948233,450.34721535,13.27152894,0.0035988428,0.0059938966,0.0117330591,0.0151627124,0.0164535028,270.71575285
7r,1985,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,1986,1,0,0.8898942033,27.745409905,94865.520094,10305.437965,792.72599727,0,0.003240181,0.0059841654,0.0109134744,0.0137751472,0.0143262517,691.16891849
7r,1987,1,0,1.0204263682,0,1596.2266496,660.42995431,21.294378997,9.4303678413,0.0035931916,0.0064437271,0.0116999288,0.0210638571,0.0164276663,18.61609308
7r,1988,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,1989,1,0,0.8886486183,1868.1352739,17284.522005,676.9092379,1032.5992656,0,0.0038119313,0.0062223238,0.011134951,0.0139836593,0.0143061993,136.64796375
7r,1990,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,1991,1,0,1.0321773042,0,1815.5582397,101.58971204,39.386617648,13.793991643,0.0036345698,0.007382961,0.0126117061,0.0337341029,0.0166168426,16.243300081
7r,1992,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,1993,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,1994,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,1995,1,0,0.9316453298,827.52714706,176595.61365,14418.874715,2561.9027596,368.4035365,0.00328057,0.0059215214,0.0099404402,0.0144214352,0.0149983958,1234.2312123
