area,aar,hy,n_samples,sopcorr,n0,n1,n2,n3,n4,mw0,mw1,mw2,mw3,mw4,ton
NA,1993,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1994,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1995,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1996,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1997,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1998,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,1999,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2000,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2001,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2002,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2003,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2004,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2005,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2006,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2007,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2008,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2009,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2010,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2011,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2012,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2013,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2014,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2015,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2016,2,0,0.7815566404,2.7937512797,1.1956641613,3.0304234137,0.4200660723,0.2135530189,0.0044011532,0.0052646391,0.0089079091,0.0122377873,0.0145224767,0.0538272018
NA,2017,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2018,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2019,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2020,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
NA,2021,2,,1,0,0,0,0,0,0.0056312658,0.0067360942,0.01139765,0.0156582218,0.018581477,0
