 par parNo species year quarter area age predator prey fleet
qq_power_ini 55 1 -1 -1 -1 0 -1 -1 1
qq_s2_ini 56 1 -1 -1 -1 0 -1 -1 1
qq_s2_ini 57 1 -1 -1 -1 1 -1 -1 1
qq_s2_ini 58 1 -1 -1 -1 1 -1 -1 2
qq_s2_ini 59 1 -1 -1 -1 3 -1 -1 2
SSB_R_alfa 60 1 -1 -1 -1 -1 -1 -1 -1
SSB_R_s2_ini 61 1 -1 -1 -1 -1 -1 -1 -1
avg_F 62 1 1986 -1 -1 -1 -1 -1 -1
avg_F 63 1 1987 -1 -1 -1 -1 -1 -1
avg_F 64 1 1988 -1 -1 -1 -1 -1 -1
avg_F 65 1 1989 -1 -1 -1 -1 -1 -1
avg_F 66 1 1990 -1 -1 -1 -1 -1 -1
avg_F 67 1 1991 -1 -1 -1 -1 -1 -1
avg_F 68 1 1992 -1 -1 -1 -1 -1 -1
avg_F 69 1 1993 -1 -1 -1 -1 -1 -1
avg_F 70 1 1994 -1 -1 -1 -1 -1 -1
avg_F 71 1 1995 -1 -1 -1 -1 -1 -1
avg_F 72 1 1996 -1 -1 -1 -1 -1 -1
avg_F 73 1 1997 -1 -1 -1 -1 -1 -1
avg_F 74 1 1998 -1 -1 -1 -1 -1 -1
avg_F 75 1 1999 -1 -1 -1 -1 -1 -1
avg_F 76 1 2000 -1 -1 -1 -1 -1 -1
avg_F 77 1 2001 -1 -1 -1 -1 -1 -1
avg_F 78 1 2002 -1 -1 -1 -1 -1 -1
avg_F 79 1 2003 -1 -1 -1 -1 -1 -1
avg_F 80 1 2004 -1 -1 -1 -1 -1 -1
avg_F 81 1 2005 -1 -1 -1 -1 -1 -1
avg_F 82 1 2006 -1 -1 -1 -1 -1 -1
avg_F 83 1 2007 -1 -1 -1 -1 -1 -1
avg_F 84 1 2008 -1 -1 -1 -1 -1 -1
avg_F 85 1 2009 -1 -1 -1 -1 -1 -1
avg_F 86 1 2010 -1 -1 -1 -1 -1 -1
avg_F 87 1 2011 -1 -1 -1 -1 -1 -1
avg_F 88 1 2012 -1 -1 -1 -1 -1 -1
avg_F 89 1 2013 -1 -1 -1 -1 -1 -1
avg_F 90 1 2014 -1 -1 -1 -1 -1 -1
avg_F 91 1 2015 -1 -1 -1 -1 -1 -1
avg_F 92 1 2016 -1 -1 -1 -1 -1 -1
avg_F 93 1 2017 -1 -1 -1 -1 -1 -1
avg_F 94 1 2018 -1 -1 -1 -1 -1 -1
avg_F 95 1 2019 -1 -1 -1 -1 -1 -1
avg_F 96 1 2020 -1 -1 -1 -1 -1 -1
avg_F 97 1 2021 -1 -1 -1 -1 -1 -1
avg_log_F 98 1 1986 -1 -1 -1 -1 -1 -1
avg_log_F 99 1 1987 -1 -1 -1 -1 -1 -1
avg_log_F 100 1 1988 -1 -1 -1 -1 -1 -1
avg_log_F 101 1 1989 -1 -1 -1 -1 -1 -1
avg_log_F 102 1 1990 -1 -1 -1 -1 -1 -1
avg_log_F 103 1 1991 -1 -1 -1 -1 -1 -1
avg_log_F 104 1 1992 -1 -1 -1 -1 -1 -1
avg_log_F 105 1 1993 -1 -1 -1 -1 -1 -1
avg_log_F 106 1 1994 -1 -1 -1 -1 -1 -1
avg_log_F 107 1 1995 -1 -1 -1 -1 -1 -1
avg_log_F 108 1 1996 -1 -1 -1 -1 -1 -1
avg_log_F 109 1 1997 -1 -1 -1 -1 -1 -1
avg_log_F 110 1 1998 -1 -1 -1 -1 -1 -1
avg_log_F 111 1 1999 -1 -1 -1 -1 -1 -1
avg_log_F 112 1 2000 -1 -1 -1 -1 -1 -1
avg_log_F 113 1 2001 -1 -1 -1 -1 -1 -1
avg_log_F 114 1 2002 -1 -1 -1 -1 -1 -1
avg_log_F 115 1 2003 -1 -1 -1 -1 -1 -1
avg_log_F 116 1 2004 -1 -1 -1 -1 -1 -1
avg_log_F 117 1 2005 -1 -1 -1 -1 -1 -1
avg_log_F 118 1 2006 -1 -1 -1 -1 -1 -1
avg_log_F 119 1 2007 -1 -1 -1 -1 -1 -1
avg_log_F 120 1 2008 -1 -1 -1 -1 -1 -1
avg_log_F 121 1 2009 -1 -1 -1 -1 -1 -1
avg_log_F 122 1 2010 -1 -1 -1 -1 -1 -1
avg_log_F 123 1 2011 -1 -1 -1 -1 -1 -1
avg_log_F 124 1 2012 -1 -1 -1 -1 -1 -1
avg_log_F 125 1 2013 -1 -1 -1 -1 -1 -1
avg_log_F 126 1 2014 -1 -1 -1 -1 -1 -1
avg_log_F 127 1 2015 -1 -1 -1 -1 -1 -1
avg_log_F 128 1 2016 -1 -1 -1 -1 -1 -1
avg_log_F 129 1 2017 -1 -1 -1 -1 -1 -1
avg_log_F 130 1 2018 -1 -1 -1 -1 -1 -1
avg_log_F 131 1 2019 -1 -1 -1 -1 -1 -1
avg_log_F 132 1 2020 -1 -1 -1 -1 -1 -1
avg_log_F 133 1 2021 -1 -1 -1 -1 -1 -1
avg_sumF 134 1 1986 -1 -1 -1 -1 -1 -1
avg_sumF 135 1 1987 -1 -1 -1 -1 -1 -1
avg_sumF 136 1 1988 -1 -1 -1 -1 -1 -1
avg_sumF 137 1 1989 -1 -1 -1 -1 -1 -1
avg_sumF 138 1 1990 -1 -1 -1 -1 -1 -1
avg_sumF 139 1 1991 -1 -1 -1 -1 -1 -1
avg_sumF 140 1 1992 -1 -1 -1 -1 -1 -1
avg_sumF 141 1 1993 -1 -1 -1 -1 -1 -1
avg_sumF 142 1 1994 -1 -1 -1 -1 -1 -1
avg_sumF 143 1 1995 -1 -1 -1 -1 -1 -1
avg_sumF 144 1 1996 -1 -1 -1 -1 -1 -1
avg_sumF 145 1 1997 -1 -1 -1 -1 -1 -1
avg_sumF 146 1 1998 -1 -1 -1 -1 -1 -1
avg_sumF 147 1 1999 -1 -1 -1 -1 -1 -1
avg_sumF 148 1 2000 -1 -1 -1 -1 -1 -1
avg_sumF 149 1 2001 -1 -1 -1 -1 -1 -1
avg_sumF 150 1 2002 -1 -1 -1 -1 -1 -1
avg_sumF 151 1 2003 -1 -1 -1 -1 -1 -1
avg_sumF 152 1 2004 -1 -1 -1 -1 -1 -1
avg_sumF 153 1 2005 -1 -1 -1 -1 -1 -1
avg_sumF 154 1 2006 -1 -1 -1 -1 -1 -1
avg_sumF 155 1 2007 -1 -1 -1 -1 -1 -1
avg_sumF 156 1 2008 -1 -1 -1 -1 -1 -1
avg_sumF 157 1 2009 -1 -1 -1 -1 -1 -1
avg_sumF 158 1 2010 -1 -1 -1 -1 -1 -1
avg_sumF 159 1 2011 -1 -1 -1 -1 -1 -1
avg_sumF 160 1 2012 -1 -1 -1 -1 -1 -1
avg_sumF 161 1 2013 -1 -1 -1 -1 -1 -1
avg_sumF 162 1 2014 -1 -1 -1 -1 -1 -1
avg_sumF 163 1 2015 -1 -1 -1 -1 -1 -1
avg_sumF 164 1 2016 -1 -1 -1 -1 -1 -1
avg_sumF 165 1 2017 -1 -1 -1 -1 -1 -1
avg_sumF 166 1 2018 -1 -1 -1 -1 -1 -1
avg_sumF 167 1 2019 -1 -1 -1 -1 -1 -1
avg_sumF 168 1 2020 -1 -1 -1 -1 -1 -1
avg_sumF 169 1 2021 -1 -1 -1 -1 -1 -1
avg_log_sumF 170 1 1986 -1 -1 -1 -1 -1 -1
avg_log_sumF 171 1 1987 -1 -1 -1 -1 -1 -1
avg_log_sumF 172 1 1988 -1 -1 -1 -1 -1 -1
avg_log_sumF 173 1 1989 -1 -1 -1 -1 -1 -1
avg_log_sumF 174 1 1990 -1 -1 -1 -1 -1 -1
avg_log_sumF 175 1 1991 -1 -1 -1 -1 -1 -1
avg_log_sumF 176 1 1992 -1 -1 -1 -1 -1 -1
avg_log_sumF 177 1 1993 -1 -1 -1 -1 -1 -1
avg_log_sumF 178 1 1994 -1 -1 -1 -1 -1 -1
avg_log_sumF 179 1 1995 -1 -1 -1 -1 -1 -1
avg_log_sumF 180 1 1996 -1 -1 -1 -1 -1 -1
avg_log_sumF 181 1 1997 -1 -1 -1 -1 -1 -1
avg_log_sumF 182 1 1998 -1 -1 -1 -1 -1 -1
avg_log_sumF 183 1 1999 -1 -1 -1 -1 -1 -1
avg_log_sumF 184 1 2000 -1 -1 -1 -1 -1 -1
avg_log_sumF 185 1 2001 -1 -1 -1 -1 -1 -1
avg_log_sumF 186 1 2002 -1 -1 -1 -1 -1 -1
avg_log_sumF 187 1 2003 -1 -1 -1 -1 -1 -1
avg_log_sumF 188 1 2004 -1 -1 -1 -1 -1 -1
avg_log_sumF 189 1 2005 -1 -1 -1 -1 -1 -1
avg_log_sumF 190 1 2006 -1 -1 -1 -1 -1 -1
avg_log_sumF 191 1 2007 -1 -1 -1 -1 -1 -1
avg_log_sumF 192 1 2008 -1 -1 -1 -1 -1 -1
avg_log_sumF 193 1 2009 -1 -1 -1 -1 -1 -1
avg_log_sumF 194 1 2010 -1 -1 -1 -1 -1 -1
avg_log_sumF 195 1 2011 -1 -1 -1 -1 -1 -1
avg_log_sumF 196 1 2012 -1 -1 -1 -1 -1 -1
avg_log_sumF 197 1 2013 -1 -1 -1 -1 -1 -1
avg_log_sumF 198 1 2014 -1 -1 -1 -1 -1 -1
avg_log_sumF 199 1 2015 -1 -1 -1 -1 -1 -1
avg_log_sumF 200 1 2016 -1 -1 -1 -1 -1 -1
avg_log_sumF 201 1 2017 -1 -1 -1 -1 -1 -1
avg_log_sumF 202 1 2018 -1 -1 -1 -1 -1 -1
avg_log_sumF 203 1 2019 -1 -1 -1 -1 -1 -1
avg_log_sumF 204 1 2020 -1 -1 -1 -1 -1 -1
avg_log_sumF 205 1 2021 -1 -1 -1 -1 -1 -1
hist_SSB 206 1 1986 -1 -1 -1 -1 -1 -1
hist_SSB 207 1 1987 -1 -1 -1 -1 -1 -1
hist_SSB 208 1 1988 -1 -1 -1 -1 -1 -1
hist_SSB 209 1 1989 -1 -1 -1 -1 -1 -1
hist_SSB 210 1 1990 -1 -1 -1 -1 -1 -1
hist_SSB 211 1 1991 -1 -1 -1 -1 -1 -1
hist_SSB 212 1 1992 -1 -1 -1 -1 -1 -1
hist_SSB 213 1 1993 -1 -1 -1 -1 -1 -1
hist_SSB 214 1 1994 -1 -1 -1 -1 -1 -1
hist_SSB 215 1 1995 -1 -1 -1 -1 -1 -1
hist_SSB 216 1 1996 -1 -1 -1 -1 -1 -1
hist_SSB 217 1 1997 -1 -1 -1 -1 -1 -1
hist_SSB 218 1 1998 -1 -1 -1 -1 -1 -1
hist_SSB 219 1 1999 -1 -1 -1 -1 -1 -1
hist_SSB 220 1 2000 -1 -1 -1 -1 -1 -1
hist_SSB 221 1 2001 -1 -1 -1 -1 -1 -1
hist_SSB 222 1 2002 -1 -1 -1 -1 -1 -1
hist_SSB 223 1 2003 -1 -1 -1 -1 -1 -1
hist_SSB 224 1 2004 -1 -1 -1 -1 -1 -1
hist_SSB 225 1 2005 -1 -1 -1 -1 -1 -1
hist_SSB 226 1 2006 -1 -1 -1 -1 -1 -1
hist_SSB 227 1 2007 -1 -1 -1 -1 -1 -1
hist_SSB 228 1 2008 -1 -1 -1 -1 -1 -1
hist_SSB 229 1 2009 -1 -1 -1 -1 -1 -1
hist_SSB 230 1 2010 -1 -1 -1 -1 -1 -1
hist_SSB 231 1 2011 -1 -1 -1 -1 -1 -1
hist_SSB 232 1 2012 -1 -1 -1 -1 -1 -1
hist_SSB 233 1 2013 -1 -1 -1 -1 -1 -1
hist_SSB 234 1 2014 -1 -1 -1 -1 -1 -1
hist_SSB 235 1 2015 -1 -1 -1 -1 -1 -1
hist_SSB 236 1 2016 -1 -1 -1 -1 -1 -1
hist_SSB 237 1 2017 -1 -1 -1 -1 -1 -1
hist_SSB 238 1 2018 -1 -1 -1 -1 -1 -1
hist_SSB 239 1 2019 -1 -1 -1 -1 -1 -1
hist_SSB 240 1 2020 -1 -1 -1 -1 -1 -1
hist_SSB 241 1 2021 -1 -1 -1 -1 -1 -1
hist_log_SSB 242 1 1986 -1 -1 -1 -1 -1 -1
hist_log_SSB 243 1 1987 -1 -1 -1 -1 -1 -1
hist_log_SSB 244 1 1988 -1 -1 -1 -1 -1 -1
hist_log_SSB 245 1 1989 -1 -1 -1 -1 -1 -1
hist_log_SSB 246 1 1990 -1 -1 -1 -1 -1 -1
hist_log_SSB 247 1 1991 -1 -1 -1 -1 -1 -1
hist_log_SSB 248 1 1992 -1 -1 -1 -1 -1 -1
hist_log_SSB 249 1 1993 -1 -1 -1 -1 -1 -1
hist_log_SSB 250 1 1994 -1 -1 -1 -1 -1 -1
hist_log_SSB 251 1 1995 -1 -1 -1 -1 -1 -1
hist_log_SSB 252 1 1996 -1 -1 -1 -1 -1 -1
hist_log_SSB 253 1 1997 -1 -1 -1 -1 -1 -1
hist_log_SSB 254 1 1998 -1 -1 -1 -1 -1 -1
hist_log_SSB 255 1 1999 -1 -1 -1 -1 -1 -1
hist_log_SSB 256 1 2000 -1 -1 -1 -1 -1 -1
hist_log_SSB 257 1 2001 -1 -1 -1 -1 -1 -1
hist_log_SSB 258 1 2002 -1 -1 -1 -1 -1 -1
hist_log_SSB 259 1 2003 -1 -1 -1 -1 -1 -1
hist_log_SSB 260 1 2004 -1 -1 -1 -1 -1 -1
hist_log_SSB 261 1 2005 -1 -1 -1 -1 -1 -1
hist_log_SSB 262 1 2006 -1 -1 -1 -1 -1 -1
hist_log_SSB 263 1 2007 -1 -1 -1 -1 -1 -1
hist_log_SSB 264 1 2008 -1 -1 -1 -1 -1 -1
hist_log_SSB 265 1 2009 -1 -1 -1 -1 -1 -1
hist_log_SSB 266 1 2010 -1 -1 -1 -1 -1 -1
hist_log_SSB 267 1 2011 -1 -1 -1 -1 -1 -1
hist_log_SSB 268 1 2012 -1 -1 -1 -1 -1 -1
hist_log_SSB 269 1 2013 -1 -1 -1 -1 -1 -1
hist_log_SSB 270 1 2014 -1 -1 -1 -1 -1 -1
hist_log_SSB 271 1 2015 -1 -1 -1 -1 -1 -1
hist_log_SSB 272 1 2016 -1 -1 -1 -1 -1 -1
hist_log_SSB 273 1 2017 -1 -1 -1 -1 -1 -1
hist_log_SSB 274 1 2018 -1 -1 -1 -1 -1 -1
hist_log_SSB 275 1 2019 -1 -1 -1 -1 -1 -1
hist_log_SSB 276 1 2020 -1 -1 -1 -1 -1 -1
hist_log_SSB 277 1 2021 -1 -1 -1 -1 -1 -1
term_N_next 278 1 2022 1 -1 0  -1 -1 -1
term_N_next 279 1 2022 1 -1 1  -1 -1 -1
term_N_next 280 1 2022 1 -1 2  -1 -1 -1
term_N_next 281 1 2022 1 -1 3  -1 -1 -1
term_N_next 282 1 2022 1 -1 4  -1 -1 -1
term_logN_next 283 1 2022 1 -1 0  -1 -1 -1
term_logN_next 284 1 2022 1 -1 1  -1 -1 -1
term_logN_next 285 1 2022 1 -1 2  -1 -1 -1
term_logN_next 286 1 2022 1 -1 3  -1 -1 -1
term_logN_next 287 1 2022 1 -1 4  -1 -1 -1
next_SSB 288 1 2022 1 -1 -1 -1 -1 -1
next_log_SSB 289 1 2022 1 -1 -1 -1 -1 -1
rec_sd 290 1 1986 2 -1 0 -1 -1 -1
rec_sd 291 1 1987 2 -1 0 -1 -1 -1
rec_sd 292 1 1988 2 -1 0 -1 -1 -1
rec_sd 293 1 1989 2 -1 0 -1 -1 -1
rec_sd 294 1 1990 2 -1 0 -1 -1 -1
rec_sd 295 1 1991 2 -1 0 -1 -1 -1
rec_sd 296 1 1992 2 -1 0 -1 -1 -1
rec_sd 297 1 1993 2 -1 0 -1 -1 -1
rec_sd 298 1 1994 2 -1 0 -1 -1 -1
rec_sd 299 1 1995 2 -1 0 -1 -1 -1
rec_sd 300 1 1996 2 -1 0 -1 -1 -1
rec_sd 301 1 1997 2 -1 0 -1 -1 -1
rec_sd 302 1 1998 2 -1 0 -1 -1 -1
rec_sd 303 1 1999 2 -1 0 -1 -1 -1
rec_sd 304 1 2000 2 -1 0 -1 -1 -1
rec_sd 305 1 2001 2 -1 0 -1 -1 -1
rec_sd 306 1 2002 2 -1 0 -1 -1 -1
rec_sd 307 1 2003 2 -1 0 -1 -1 -1
rec_sd 308 1 2004 2 -1 0 -1 -1 -1
rec_sd 309 1 2005 2 -1 0 -1 -1 -1
rec_sd 310 1 2006 2 -1 0 -1 -1 -1
rec_sd 311 1 2007 2 -1 0 -1 -1 -1
rec_sd 312 1 2008 2 -1 0 -1 -1 -1
rec_sd 313 1 2009 2 -1 0 -1 -1 -1
rec_sd 314 1 2010 2 -1 0 -1 -1 -1
rec_sd 315 1 2011 2 -1 0 -1 -1 -1
rec_sd 316 1 2012 2 -1 0 -1 -1 -1
rec_sd 317 1 2013 2 -1 0 -1 -1 -1
rec_sd 318 1 2014 2 -1 0 -1 -1 -1
rec_sd 319 1 2015 2 -1 0 -1 -1 -1
rec_sd 320 1 2016 2 -1 0 -1 -1 -1
rec_sd 321 1 2017 2 -1 0 -1 -1 -1
rec_sd 322 1 2018 2 -1 0 -1 -1 -1
rec_sd 323 1 2019 2 -1 0 -1 -1 -1
rec_sd 324 1 2020 2 -1 0 -1 -1 -1
rec_sd 325 1 2021 2 -1 0 -1 -1 -1
log_recsd 326 1 1986 2 -1 0 -1 -1 -1
log_recsd 327 1 1987 2 -1 0 -1 -1 -1
log_recsd 328 1 1988 2 -1 0 -1 -1 -1
log_recsd 329 1 1989 2 -1 0 -1 -1 -1
log_recsd 330 1 1990 2 -1 0 -1 -1 -1
log_recsd 331 1 1991 2 -1 0 -1 -1 -1
log_recsd 332 1 1992 2 -1 0 -1 -1 -1
log_recsd 333 1 1993 2 -1 0 -1 -1 -1
log_recsd 334 1 1994 2 -1 0 -1 -1 -1
log_recsd 335 1 1995 2 -1 0 -1 -1 -1
log_recsd 336 1 1996 2 -1 0 -1 -1 -1
log_recsd 337 1 1997 2 -1 0 -1 -1 -1
log_recsd 338 1 1998 2 -1 0 -1 -1 -1
log_recsd 339 1 1999 2 -1 0 -1 -1 -1
log_recsd 340 1 2000 2 -1 0 -1 -1 -1
log_recsd 341 1 2001 2 -1 0 -1 -1 -1
log_recsd 342 1 2002 2 -1 0 -1 -1 -1
log_recsd 343 1 2003 2 -1 0 -1 -1 -1
log_recsd 344 1 2004 2 -1 0 -1 -1 -1
log_recsd 345 1 2005 2 -1 0 -1 -1 -1
log_recsd 346 1 2006 2 -1 0 -1 -1 -1
log_recsd 347 1 2007 2 -1 0 -1 -1 -1
log_recsd 348 1 2008 2 -1 0 -1 -1 -1
log_recsd 349 1 2009 2 -1 0 -1 -1 -1
log_recsd 350 1 2010 2 -1 0 -1 -1 -1
log_recsd 351 1 2011 2 -1 0 -1 -1 -1
log_recsd 352 1 2012 2 -1 0 -1 -1 -1
log_recsd 353 1 2013 2 -1 0 -1 -1 -1
log_recsd 354 1 2014 2 -1 0 -1 -1 -1
log_recsd 355 1 2015 2 -1 0 -1 -1 -1
log_recsd 356 1 2016 2 -1 0 -1 -1 -1
log_recsd 357 1 2017 2 -1 0 -1 -1 -1
log_recsd 358 1 2018 2 -1 0 -1 -1 -1
log_recsd 359 1 2019 2 -1 0 -1 -1 -1
log_recsd 360 1 2020 2 -1 0 -1 -1 -1
log_recsd 361 1 2021 2 -1 0 -1 -1 -1
GMminOne 362 1 2022 1 -1 0  -1 -1 -1
